cell,PC1,PC2,tsne1,tsne2,knn_all,knn_pca,knn_svd,lnIC50_mean
NALM-6,-26.466828212143994,-0.5576940460785172,27.112463,-27.013708,2,4,4,0.6850696888888886
NAMALWA,-23.093102603822203,-2.509117208132882,26.225492,-27.991253,2,4,4,0.9626091222222223
NB(TU)1-10,-10.857227949875472,9.435404021002283,0.8584375,-24.100529,3,2,2,1.60803874301676
NB1,1.957168867050239,-3.4406886341612233,-2.5634613,0.9869139,1,1,1,2.4972176600000004
NB10,-10.390375974189585,1.666866294401156,9.235103,-22.249758,3,2,2,1.840207877777778
NB12,-3.537176797160479,-5.569767682761604,16.701485,-3.2430935,3,2,2,1.5662514313725486
NB13,-14.545311988820337,-4.73847500513144,17.267834,-22.033932,2,4,4,1.5267697100591717
NB14,-16.256255597221248,-4.486664125904879,19.386179,-22.125002,2,4,4,1.39808592178771
NB69,-17.915267707333957,12.350640269709997,2.5776863,-25.075935,2,4,4,1.171306344444444
NB7,5.984012707396018,-5.193816669606365,-4.637244,7.307858,1,1,1,2.8748443666666668
NCC010,3.278804025710788,-0.6238288844715552,-6.555959,6.255264,1,1,1,3.32904884375
NCCIT,-2.4498998323179393,-3.0739022979594735,10.584087,2.2694604,1,1,1,1.7636072254901962
NCI-H1048,-3.876255162584713,-8.025143096453391,11.929747,-10.522897,3,2,2,2.322244262569832
NCI-H1092,15.408991114230444,-7.202768972272078,-16.42665,26.482471,4,3,3,3.689389379888268
NCI-H1155,-7.671113552388331,-5.310345852220252,11.96864,-12.967512,3,2,2,2.0446957752808985
NCI-H1299,1.5533905898248672,3.903592768218818,-5.8970513,-0.05021603,1,1,1,2.6490896999999998
NCI-H1341,3.3582156275806376,-4.450574432672124,-2.129933,2.2260928,1,1,1,2.711326267326733
NCI-H1355,14.318664248917088,-0.5581545048208141,-13.059914,26.627455,4,3,3,3.4931627111111117
NCI-H1417,-20.150648149641775,0.8327995253679663,22.212553,-25.52054,2,4,4,1.047695735955056
NCI-H1435,14.609124842868779,-2.745031996686097,-8.146659,27.230478,4,3,3,3.3676005611111117
NCI-H1563,15.558842305850987,-3.605644793067491,-9.098633,30.799484,4,3,3,3.5150322793296085
NCI-H1568,20.576219124906856,2.968638623874087,-23.680454,30.47061,0,0,0,3.9177009044943816
NCI-H1573,11.07725964364808,-1.0226982517300538,-22.999546,15.181969,4,3,3,3.491189237623762
NCI-H1581,-4.646522081608653,-0.45229257027826,16.137104,1.1145196,3,2,2,2.1308765944444445
NCI-H1623,3.4176051219530335,-1.6209034834462597,0.958791,-1.1677151,1,1,1,2.7837288044692734
NCI-H1648,-4.232560193938805,4.136766325002107,4.9071403,-4.490444,3,2,2,1.4104664411764707
NCI-H1650,29.711308765381702,-4.691722631746864,-21.340782,31.399376,0,0,0,4.602852022346369
NCI-H1651,-1.5462484177368014,-5.869212280137795,10.513548,-7.1595416,1,1,1,2.481305772222222
NCI-H1666,11.93991924741735,9.439653353415526,-5.6287513,15.99557,4,3,3,3.272783266666667
NCI-H1688,4.2380713378441195,-3.0390696166064357,-0.06163863,5.97719,1,1,1,2.6532829702970298
NCI-H1693,22.698636953071656,0.6082836571835308,-21.61872,29.84413,0,0,0,4.080084139664804
NCI-H1694,1.0739579317222447,-6.154523965498682,-17.98067,2.8170676,1,1,1,2.6367909750000003
NCI-H1703,-5.091571215666376,-1.19107917764074,1.7678123,-11.843739,3,2,2,1.5886159411764706
NCI-H1755,1.4026873907976523,3.5279106315919613,-12.624303,3.1783774,1,1,1,2.4830542555555555
NCI-H1781,3.3317399383923187,-2.2981796729524246,0.47036776,-1.6910608,1,1,1,2.822030088888889
NCI-H1792,-9.89092989306799,3.215480743475532,5.7524886,-20.267061,3,2,2,1.8312333666666667
NCI-H1793,26.219187800229093,-3.7244011195004676,-18.651901,35.452744,0,0,0,4.49069320670391
NCI-H1838,16.72478262960752,-2.897601551017917,-25.424236,15.679257,4,3,3,4.344335702970297
NCI-H1869,15.729325775941554,1.061645510248007,-12.083587,31.073948,4,3,3,3.4856593222222223
NCI-H1876,-10.869344641167784,-6.1664385898044625,14.703234,-25.930872,3,2,2,1.8527984413407823
NCI-H1915,8.361652621976248,4.935346703848569,-10.135143,15.794339,4,3,3,3.1795011005586593
NCI-H1944,1.6778544550947352,1.6579533288861037,-3.7572784,1.1481571,1,1,1,2.6909882569832404
NCI-H196,24.315351597235356,-4.882156601732275,-17.218454,31.863043,0,0,0,4.206215189944134
NCI-H1963,-4.170437903811365,-7.048939509805168,18.450485,-8.140426,3,2,2,2.184071025
NCI-H1975,-1.9882453987566568,3.3664913472581848,1.2510412,-3.6958852,1,1,1,2.310850730337079
NCI-H1993,-0.7628372166927161,4.40247430551697,-18.566341,-5.53915,1,1,1,2.4274119222222224
NCI-H2009,-1.3451173873912798,2.769520975921875,-2.4508193,-4.186819,1,1,1,1.9568483366336633
NCI-H2023,-0.16838413254379736,2.0111028298349902,-3.8967385,-5.1413965,1,1,1,2.5648486888888886
NCI-H2029,4.13788624981783,-3.689873847129972,-3.344917,7.6350965,1,1,1,3.307821044642856
NCI-H2052,15.031417510427236,-3.556483674436802,-16.850039,23.78477,4,3,3,3.6311300558659214
NCI-H2066,12.895173594101522,-3.57806639513489,-25.313232,14.713262,4,3,3,3.8242369509803926
NCI-H2085,9.381831561294273,-1.0400166957978039,-7.028791,9.960816,4,3,3,3.094709722222222
NCI-H2087,13.355163322646643,5.068822171038496,-11.880014,20.985811,4,3,3,3.5418005555555556
NCI-H209,-13.772445733441682,-7.523358932089632,14.467778,-24.83401,2,4,4,1.6431452372881359
NCI-H211,-13.24617313690364,-3.333792633476099,15.997865,-21.34484,2,4,4,1.6227170833333335
NCI-H2122,-17.623537028377683,6.6516022667592,5.616139,-23.325382,2,4,4,1.2276650055555554
NCI-H2135,23.900210425356534,4.738227435574899,-22.737759,22.634068,0,0,0,6.230449875000001
NCI-H2141,14.84151362008572,-8.231806850316284,-16.594494,26.329065,4,3,3,3.597043927374301
NCI-H2170,-5.413269913114385,-4.71852605318472,1.3372527,-9.220227,3,2,2,2.205621355932203
NCI-H2227,6.904248086671352,-3.846845822006347,-15.933772,9.492129,4,1,1,4.164863242105263
NCI-H2228,11.15343852028975,0.041390515600169486,-17.549788,19.550003,4,3,3,3.395290055865922
NCI-H226,34.68443394713712,-0.7949865095536253,-20.453888,37.135586,0,0,0,5.0511218666666675
NCI-H23,0.134649806924719,-6.004080066131159,1.088468,4.760252,1,1,1,2.5764594245810057
NCI-H2342,10.622483412574514,-4.1314516299598045,-23.449572,13.8198805,4,3,3,3.3549732549019606
NCI-H2347,20.9870355554936,-2.1444899622087004,-25.406614,16.51236,0,0,0,4.827967871287129
NCI-H2369,17.69935575634817,-3.9270335534239114,-16.21349,27.934317,0,3,3,3.80832845
NCI-H2373,9.227851635429873,1.798336667185215,-15.659633,12.288388,4,3,3,3.264493922222222
NCI-H2405,37.581813523804385,3.103402833060284,-23.139866,35.96244,0,0,0,5.19062992178771
NCI-H2452,1.577008326169048,-0.2219210708538757,-8.890538,-0.59947544,1,1,1,2.3669092058823527
NCI-H2461,11.342271345581915,2.6280299939330733,-16.904665,18.305132,4,3,3,3.3872006166666666
NCI-H250,13.09118938962229,-4.010885254765771,-21.659935,21.57816,4,3,3,4.8187410947368425
NCI-H2591,32.12980037872463,-2.4180430369560844,-21.951878,35.09756,0,0,0,4.8246814888888885
NCI-H2595,24.285763790186238,-3.4017242435404516,-17.636591,33.589664,0,0,0,4.281760294444444
NCI-H2722,30.707038950969363,-2.921961100615423,-21.825602,34.979584,0,0,0,4.792237614525139
NCI-H2731,4.651278105402177,-0.7330936594630427,-12.497409,6.422323,1,1,1,2.7610146388888888
NCI-H2795,-8.962837901079286,6.061211882486032,-0.72392,-19.194824,3,2,2,1.7677981000000005
NCI-H28,20.438931936829597,1.8719910302594585,-16.379087,35.222202,0,0,0,4.016539055555556
NCI-H2803,5.89455483407942,0.9597908217898068,-13.91472,9.111368,1,1,1,3.649284094736842
NCI-H2804,4.035550655460733,-1.9502272939856593,-13.993944,10.235955,1,1,1,3.5710842421052633
NCI-H2810,1.9466768941078256,0.7406700988829071,-13.412908,7.036795,1,1,1,3.1633296736842107
NCI-H2818,12.923777795813443,0.3377100966084968,-17.175434,16.840553,4,3,3,3.4479836055555553
NCI-H2869,7.872230543725648,-0.42346038187196144,-15.057616,10.48431,4,3,3,4.033637094736842
NCI-H3118,-2.838171259977182,8.586002513086648,1.2476227,-7.030508,3,2,2,2.284450011111111
NCI-H3122,0.3651476454333866,5.012794909864407,-9.969763,-6.2515087,1,1,1,2.6416582277777776
NCI-H322M,-0.9350931779034259,9.268289954549047,-3.6593995,-10.240793,1,1,1,2.376119765363128
NCI-H345,18.764058911007588,-5.49106470605131,-21.648895,22.571695,0,0,0,5.003823495575221
NCI-H358,7.8175992076835925,6.695441490271948,-6.1957965,15.958356,4,3,3,3.036917305555556
NCI-H441,41.50251641315455,-0.4231711656324695,-21.686346,37.729412,0,0,0,5.658206627777777
NCI-H446,-10.984265450375421,-1.783761392310297,14.122204,-10.421978,3,2,2,1.8166323575418994
NCI-H508,-2.345108932406344,2.837902824084626,-5.264626,-8.851443,1,1,1,0.6254182222222221
NCI-H513,22.91076251867567,0.8237682881814109,-23.54496,30.466064,0,0,0,4.0871744055555554
NCI-H520,3.6480881520284845,-2.6039611073321765,-5.9280334,7.7001014,1,1,1,2.842896877777777
NCI-H522,4.917390093657473,-3.169074482268813,-1.0767003,5.957419,1,1,1,2.9127364222222227
NCI-H524,-12.393997976101094,-3.161767301269129,20.106436,-10.422001,3,2,2,1.642506094444444
NCI-H526,-9.76524941056512,-6.289542771443733,21.915426,-8.958501,3,2,2,1.8703078268156423
NCI-H596,7.951683824567501,-0.8432387502914364,-10.142613,2.9543645,4,3,3,3.064949089385476
NCI-H64,3.256682554781488,-4.568090700246392,9.630178,3.4363682,1,1,1,2.4891818921568625
NCI-H650,7.876084572770025,0.6004932287858734,-10.781019,15.862518,4,3,3,3.104109201117318
NCI-H661,16.197422046948425,-4.6993585912055105,-15.548489,27.430967,4,3,3,3.6535112777777776
NCI-H69,-4.5782373169008626,-4.200243081743384,14.695806,-5.209275,3,2,2,1.5583906372549017
NCI-H716,1.5362384037220087,5.111469478981974,-12.573617,5.634297,1,1,1,2.487933524590164
NCI-H720,5.496031854433982,-6.007136343311991,12.0671625,4.7309065,1,1,1,2.8762537134831465
NCI-H727,18.77036450518242,7.492541857206888,-9.878064,24.371279,4,3,3,3.6883267666666666
NCI-H747,9.869896895951006,9.969523504052264,-4.301668,16.59471,4,3,3,2.963022793478261
NCI-H810,0.3571416803322808,-5.670846356750109,-0.70419794,4.2348266,1,1,1,2.56610140782123
NCI-H82,-14.321370926971,-4.4829474890006775,19.610125,-20.668217,2,4,4,1.5384352166666664
NCI-H835,-0.5458768934500199,-3.18424804035437,10.506757,3.2570918,1,1,1,1.9788413627450983
NCI-H841,5.299502595238744,-3.983817310966608,0.5226828,8.277143,1,1,1,2.9094410552486187
NCI-H847,-8.969001831548443,-4.590542516856343,15.332714,-5.4028616,3,2,2,1.0540743431372548
NCI-H929,-20.715515218334133,5.130920491084738,23.979109,-16.093924,2,4,4,0.9582899611111112
NCI-N87,4.593793577024485,4.713437620530408,6.415234,3.372984,1,1,1,2.684711177777778
NEC8,-15.828263667158115,-0.18881507359317617,19.380936,-18.355448,2,4,4,1.4269314444444443
NH-12,-0.42171829793581805,-0.6737632616150183,9.607947,-1.9948874,1,1,1,2.66118882122905
